City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Harper,LR,2022-08-12 14:37:13,4.375,-7.7169,78.19,72,99,11.3
258,Mikhaylovka,RU,2022-08-12 14:37:13,50.06,43.2379,91.71,25,44,15.08
259,Luderitz,NA,2022-08-12 14:37:14,-26.6481,15.1594,62.6,62,6,13.35
260,Sitka,US,2022-08-12 14:33:30,57.0531,-135.33,60.69,88,20,0.0
261,Aykhal,RU,2022-08-12 14:33:58,66.0,111.5,44.13,80,100,18.07
262,Awjilah,LY,2022-08-12 14:37:14,29.1081,21.2869,97.72,15,0,6.38
263,Mahina,PF,2022-08-12 14:37:14,-17.5065,-149.489,76.77,61,20,9.22
264,Severo-Kurilsk,RU,2022-08-12 14:36:38,50.6789,156.125,54.97,98,100,12.35
265,Acarau,BR,2022-08-12 14:37:15,-2.8856,-40.12,87.3,58,3,18.52
266,Vilhena,BR,2022-08-12 14:32:29,-12.7406,-60.1458,75.42,46,0,12.66
267,Muramatsu,JP,2022-08-12 14:37:15,37.6833,139.1833,79.21,96,47,2.91
268,Ihosy,MG,2022-08-12 14:37:16,-22.4,46.1167,63.25,72,13,10.58
269,Magdagachi,RU,2022-08-12 14:37:16,53.45,125.8,53.53,96,100,2.66
270,Ancud,CL,2022-08-12 14:33:34,-41.8697,-73.8203,44.22,75,100,9.46
271,Orlik,RU,2022-08-12 14:37:16,52.5178,99.825,52.79,87,99,4.85
272,Arraial Do Cabo,BR,2022-08-12 14:36:34,-22.9661,-42.0278,71.56,60,20,9.22
273,Anadyr,RU,2022-08-12 14:33:54,64.75,177.4833,55.9,93,20,4.47
274,Otane,NZ,2022-08-12 14:37:17,-39.8833,176.6333,33.01,94,5,3.56
275,Oriximina,BR,2022-08-12 14:37:17,-1.7656,-55.8661,88.79,49,91,5.03
276,Narsaq,GL,2022-08-12 14:37:18,60.9167,-46.05,55.62,68,100,3.09
277,Inzer,RU,2022-08-12 14:37:18,54.2167,57.5556,63.12,73,60,3.09
278,Romitan,UZ,2022-08-12 14:37:18,39.9343,64.3814,89.55,25,0,11.5
279,Pyinmana,MM,2022-08-12 14:37:18,19.7333,96.2167,73.94,99,100,7.47
280,Kodiak,US,2022-08-12 14:36:07,57.79,-152.4072,53.11,94,100,9.22
281,Broken Hill,AU,2022-08-12 14:32:32,-31.95,141.4333,46.06,80,30,8.72
282,Ajaccio,FR,2022-08-12 14:37:19,42.0,8.9167,82.45,55,40,13.8
283,Umm Kaddadah,SD,2022-08-12 14:37:19,13.6017,26.6876,86.56,47,80,15.84
284,Coihaique,CL,2022-08-12 14:37:20,-45.5752,-72.0662,38.01,87,75,8.05
285,Mayahi,NE,2022-08-12 14:37:20,13.9553,7.6712,86.72,45,84,12.53
286,North Bend,US,2022-08-12 14:37:20,43.4065,-124.2243,60.93,97,100,4.61
287,Svetlogorsk,BY,2022-08-12 14:37:21,52.6333,29.7333,80.98,48,97,11.52
288,Serpa,PT,2022-08-12 14:37:21,37.9458,-7.5975,89.56,16,5,7.96
289,Kashi,CN,2022-08-12 14:37:21,39.4547,75.9797,85.21,42,90,6.71
290,Barao De Melgaco,BR,2022-08-12 14:37:22,-16.1944,-55.9675,83.5,27,0,3.8
291,Saint-Joseph,RE,2022-08-12 14:37:22,-21.3667,55.6167,68.38,77,71,15.1
292,San Francisco,US,2022-08-12 14:34:49,37.7749,-122.4194,63.03,90,40,13.0
