City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather Description
299,Ternate,ID,0.8,127.4,80.19,79,100,8.77,overcast clouds
300,Provideniya,RU,64.3833,-173.3,50.36,57,0,11.18,clear sky
301,Olinda,BR,-8.0089,-34.8553,76.73,65,20,13.8,few clouds
302,Mullheim,DE,47.8082,7.6304,70.0,87,97,1.01,overcast clouds
303,Bud,US,39.447,-86.1758,78.06,95,94,4.29,overcast clouds
304,Mount Isa,AU,-20.7333,139.5,58.77,36,42,3.44,scattered clouds
305,Voskresenskoye,RU,56.8381,45.4317,60.1,84,64,3.51,broken clouds
306,Lazaro Cardenas,MX,17.9583,-102.2,82.51,72,95,5.86,overcast clouds
307,Chernyshevskiy,RU,63.0128,112.4714,49.39,91,100,4.81,overcast clouds
308,Port Blair,IN,11.6667,92.75,77.04,100,40,0.0,mist
309,Harbour Breton,CA,47.4833,-55.7983,65.89,99,100,10.33,overcast clouds
310,Jizan,SA,17.3333,42.6667,88.74,66,100,3.29,overcast clouds
311,Placer,US,39.0666,-120.7677,91.54,14,0,4.0,clear sky
312,Coihaique,CL,-45.5752,-72.0662,35.55,87,100,6.91,overcast clouds
313,Egvekinot,RU,66.3167,-179.1667,44.13,74,98,4.7,light rain
314,Ulaanbaatar,MN,47.9077,106.8832,48.33,87,20,0.0,few clouds
315,Sabang,ID,5.8933,95.3214,82.58,73,77,11.7,broken clouds
316,Sibu,MY,2.3,111.8167,73.71,94,20,2.3,few clouds
317,Parkes,AU,-33.1333,148.1833,49.35,80,91,7.83,light rain
318,Digha,IN,21.6833,87.55,81.36,82,100,19.1,overcast clouds
319,Nouadhibou,MR,20.931,-17.0347,73.38,83,2,10.36,clear sky
320,Port Hawkesbury,CA,45.6169,-61.3485,69.39,98,75,10.36,broken clouds
321,Vasilsursk,RU,56.1275,46.0072,62.42,73,82,3.24,broken clouds
322,Ballina,AU,-28.8667,153.5667,61.79,58,9,11.9,clear sky
323,Iquitos,PE,-3.7481,-73.2472,73.44,100,100,9.22,overcast clouds
324,Thunder Bay,CA,48.4001,-89.3168,66.11,77,75,12.66,broken clouds
325,Tuntum,BR,-5.2581,-44.6489,75.67,35,34,2.44,scattered clouds
326,Zaysan,KZ,47.4667,84.8667,64.9,50,0,4.72,clear sky
327,Lunen,DE,51.6167,7.5167,78.13,65,98,6.91,overcast clouds
328,Williams Lake,CA,52.1415,-122.1445,84.06,32,20,3.0,few clouds
329,Chillicothe,US,39.3331,-82.9824,70.25,84,100,5.99,moderate rain
330,Gat,IL,31.61,34.7642,77.68,100,0,1.57,clear sky
331,Neiafu,TO,-18.65,-173.9833,77.68,65,75,14.97,broken clouds
332,Wanaka,NZ,-44.7,169.15,41.11,76,100,1.07,overcast clouds
333,Ukiah,US,39.1502,-123.2078,99.45,29,0,6.91,clear sky
334,Mersing,MY,2.4312,103.8405,76.91,88,40,5.75,scattered clouds
335,Rodnykove,UA,45.043,33.9541,69.35,86,19,6.11,few clouds
336,Green River,US,41.5286,-109.4662,72.19,64,98,5.01,overcast clouds
337,Oktyabrskiy,RU,54.4815,53.471,52.0,72,1,5.26,clear sky
338,Quesnel,CA,52.9999,-122.5029,77.5,36,0,5.75,clear sky
339,Lompoc,US,34.6391,-120.4579,72.84,74,0,12.66,clear sky
340,Lata,PT,40.1629,-8.3327,57.45,98,9,2.35,clear sky
341,Fredericton,CA,45.9454,-66.6656,63.45,92,100,4.61,overcast clouds
342,Zuya,UA,45.0531,34.3154,69.75,84,6,5.44,clear sky
343,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,80.94,31,2,4.25,clear sky
344,Umm Lajj,SA,25.0213,37.2685,84.16,71,42,4.83,scattered clouds
345,Costinesti,RO,43.95,28.6333,68.43,78,25,5.01,scattered clouds
